,Day,Time,Total
0,2020-10-31 00:15:00,1.81,7.24
1,2020-10-31 00:30:00,1.87,7.48
2,2020-10-31 00:45:00,1.87,7.48
3,2020-10-31 01:00:00,1.82,7.28
4,2020-10-31 01:15:00,1.81,7.24
5,2020-10-31 01:30:00,1.85,7.4
6,2020-10-31 01:45:00,1.8,7.2
7,2020-10-31 02:00:00,1.8,7.2
8,2020-10-31 02:15:00,1.91,7.64
9,2020-10-31 02:30:00,1.79,7.16
10,2020-10-31 02:45:00,1.84,7.36
11,2020-10-31 03:00:00,1.78,7.12
12,2020-10-31 03:15:00,1.81,7.24
13,2020-10-31 03:30:00,1.76,7.04
14,2020-10-31 03:45:00,2.16,8.64
15,2020-10-31 04:00:00,2.1,8.4
16,2020-10-31 04:15:00,2.0,8.0
17,2020-10-31 04:30:00,1.85,7.4
18,2020-10-31 04:45:00,1.81,7.24
19,2020-10-31 05:00:00,1.87,7.48
20,2020-10-31 05:15:00,1.91,7.64
21,2020-10-31 05:30:00,1.81,7.24
22,2020-10-31 05:45:00,1.8,7.2
23,2020-10-31 06:00:00,1.85,7.4
24,2020-10-31 06:15:00,1.93,7.72
25,2020-10-31 06:30:00,1.8,7.2
26,2020-10-31 06:45:00,1.78,7.12
27,2020-10-31 07:00:00,1.85,7.4
28,2020-10-31 07:15:00,1.82,7.28
29,2020-10-31 07:30:00,1.33,5.32
30,2020-10-31 07:45:00,1.78,7.12
31,2020-10-31 08:00:00,0.28,1.12
32,2020-10-31 08:15:00,0.4,1.6
33,2020-10-31 08:30:00,2.3,9.2
34,2020-10-31 08:45:00,4.21,16.84
35,2020-10-31 09:00:00,1.43,5.72
36,2020-10-31 09:15:00,1.34,5.36
37,2020-10-31 09:30:00,2.9,11.6
38,2020-10-31 09:45:00,7.19,28.76
39,2020-10-31 10:00:00,9.06,36.24
40,2020-10-31 10:15:00,0.84,3.36
41,2020-10-31 10:30:00,0.0,0.0
42,2020-10-31 10:45:00,0.0,0.0
43,2020-10-31 11:00:00,0.0,0.0
44,2020-10-31 11:15:00,0.0,0.0
45,2020-10-31 11:30:00,0.0,0.0
46,2020-10-31 11:45:00,0.0,0.0
47,2020-10-31 12:00:00,0.0,0.0
48,2020-10-31 12:15:00,0.0,0.0
49,2020-10-31 12:30:00,0.0,0.0
50,2020-10-31 12:45:00,0.0,0.0
51,2020-10-31 13:00:00,0.0,0.0
52,2020-10-31 13:15:00,0.0,0.0
53,2020-10-31 13:30:00,0.0,0.0
54,2020-10-31 13:45:00,0.02,0.08
55,2020-10-31 14:00:00,0.0,0.0
56,2020-10-31 14:15:00,0.0,0.0
57,2020-10-31 14:30:00,0.0,0.0
58,2020-10-31 14:45:00,0.0,0.0
59,2020-10-31 15:00:00,0.01,0.04
60,2020-10-31 15:15:00,0.0,0.0
61,2020-10-31 15:30:00,0.29,1.16
62,2020-10-31 15:45:00,2.28,9.12
63,2020-10-31 16:00:00,2.62,10.48
64,2020-10-31 16:15:00,1.1,4.4
65,2020-10-31 16:30:00,2.7,10.8
66,2020-10-31 16:45:00,6.4,25.6
67,2020-10-31 17:00:00,7.2,28.8
68,2020-10-31 17:15:00,7.12,28.48
69,2020-10-31 17:30:00,6.54,26.16
70,2020-10-31 17:45:00,2.04,8.16
71,2020-10-31 18:00:00,1.94,7.76
72,2020-10-31 18:15:00,1.85,7.4
73,2020-10-31 18:30:00,1.85,7.4
