,Day,Time,Total
0,2019-10-01 00:15:00,1.84,7.36
1,2019-10-01 00:30:00,2.0,8.0
2,2019-10-01 00:45:00,1.88,7.52
3,2019-10-01 01:00:00,1.82,7.28
4,2019-10-01 01:15:00,1.86,7.44
5,2019-10-01 01:30:00,1.82,7.28
6,2019-10-01 01:45:00,1.87,7.48
7,2019-10-01 02:00:00,1.86,7.44
8,2019-10-01 02:15:00,1.78,7.12
9,2019-10-01 02:30:00,1.86,7.44
10,2019-10-01 02:45:00,1.82,7.28
11,2019-10-01 03:00:00,1.85,7.4
12,2019-10-01 03:15:00,1.82,7.28
13,2019-10-01 03:30:00,1.82,7.28
14,2019-10-01 03:45:00,1.93,7.72
15,2019-10-01 04:00:00,1.93,7.72
16,2019-10-01 04:15:00,1.94,7.76
17,2019-10-01 04:30:00,1.86,7.44
18,2019-10-01 04:45:00,1.84,7.36
19,2019-10-01 05:00:00,1.9,7.6
20,2019-10-01 05:15:00,1.88,7.52
21,2019-10-01 05:30:00,1.84,7.36
22,2019-10-01 05:45:00,1.88,7.52
23,2019-10-01 06:00:00,1.85,7.4
24,2019-10-01 06:15:00,1.92,7.68
25,2019-10-01 06:30:00,1.79,7.16
26,2019-10-01 06:45:00,1.81,7.24
27,2019-10-01 07:00:00,1.9,7.6
28,2019-10-01 07:15:00,1.9,7.6
29,2019-10-01 07:30:00,1.78,7.12
30,2019-10-01 07:45:00,3.14,12.56
31,2019-10-01 08:00:00,7.03,28.12
32,2019-10-01 08:15:00,10.18,40.72
33,2019-10-01 08:30:00,6.46,25.84
34,2019-10-01 08:45:00,5.24,20.96
35,2019-10-01 09:00:00,5.89,23.56
36,2019-10-01 09:15:00,5.28,21.12
37,2019-10-01 09:30:00,0.06,0.24
38,2019-10-01 09:45:00,0.0,0.0
39,2019-10-01 10:00:00,0.0,0.0
40,2019-10-01 10:15:00,0.0,0.0
41,2019-10-01 10:30:00,0.0,0.0
42,2019-10-01 10:45:00,0.0,0.0
43,2019-10-01 11:00:00,0.0,0.0
44,2019-10-01 11:15:00,0.0,0.0
45,2019-10-01 11:30:00,0.0,0.0
46,2019-10-01 11:45:00,0.0,0.0
47,2019-10-01 12:00:00,0.0,0.0
48,2019-10-01 12:15:00,0.0,0.0
49,2019-10-01 12:30:00,0.0,0.0
50,2019-10-01 12:45:00,0.0,0.0
51,2019-10-01 13:00:00,0.0,0.0
52,2019-10-01 13:15:00,0.0,0.0
53,2019-10-01 13:30:00,0.0,0.0
54,2019-10-01 13:45:00,0.0,0.0
55,2019-10-01 14:00:00,0.0,0.0
56,2019-10-01 14:15:00,0.0,0.0
57,2019-10-01 14:30:00,0.0,0.0
58,2019-10-01 14:45:00,0.0,0.0
59,2019-10-01 15:00:00,0.0,0.0
60,2019-10-01 15:15:00,0.0,0.0
61,2019-10-01 15:30:00,0.0,0.0
62,2019-10-01 15:45:00,0.0,0.0
63,2019-10-01 16:00:00,0.0,0.0
64,2019-10-01 16:15:00,1.27,5.08
65,2019-10-01 16:30:00,3.9,15.6
66,2019-10-01 16:45:00,6.2,24.8
67,2019-10-01 17:00:00,0.0,0.0
68,2019-10-01 17:15:00,0.0,0.0
69,2019-10-01 17:30:00,0.0,0.0
70,2019-10-01 17:45:00,0.0,0.0
71,2019-10-01 18:00:00,0.0,0.0
72,2019-10-01 18:15:00,0.0,0.0
73,2019-10-01 18:30:00,0.0,0.0
74,2019-10-01 18:45:00,0.0,0.0
75,2019-10-01 19:00:00,0.0,0.0
76,2019-10-01 19:15:00,0.0,0.0
77,2019-10-01 19:30:00,0.0,0.0
78,2019-10-01 19:45:00,0.0,0.0
79,2019-10-01 20:00:00,0.0,0.0
80,2019-10-01 20:15:00,0.0,0.0
81,2019-10-01 20:30:00,0.0,0.0
82,2019-10-01 20:45:00,0.0,0.0
83,2019-10-01 21:00:00,0.0,0.0
84,2019-10-01 21:15:00,0.0,0.0
85,2019-10-01 21:30:00,0.0,0.0
86,2019-10-01 21:45:00,0.0,0.0
87,2019-10-01 22:00:00,0.0,0.0
88,2019-10-01 22:15:00,0.0,0.0
89,2019-10-01 22:30:00,0.0,0.0
90,2019-10-01 22:45:00,0.0,0.0
91,2019-10-01 23:00:00,0.0,0.0
92,2019-10-01 23:15:00,0.0,0.0
93,2019-10-01 23:30:00,0.0,0.0
94,2019-10-01 23:45:00,0.0,0.0
95,2019-10-02 00:00:00,0.0,0.0
96,2019-10-02 00:15:00,1.84,7.36
